"","Name","TotalM","TotalF","Dif"
"82","Britain",628,522,0.0921739130434782
"83","Juel",758,630,0.0922190201729107
"84","Lindley",626,756,0.0940665701881331
"85","Gean",554,670,0.0947712418300654
"86","Trinidad",5126,4238,0.0948312686885946
"87","Jaydyn",778,639,0.0980945659844742
"88","Kamani",462,563,0.0985365853658537
"89","Dossie",466,568,0.0986460348162476
"90","Parris",1810,1477,0.101308183754183
"91","Reilly",3851,4723,0.101702822486587
"92","Berlin",1424,1156,0.103875968992248
"93","Frankie",39894,32355,0.104347465016817
"94","Lorenza",3679,2978,0.105302688898903
"95","Kimani",1436,1161,0.105891413169041
"96","Lannie",1858,1502,0.105952380952381
"97","True",854,688,0.107652399481193
"98","Rebel",460,571,0.107662463627546
"99","Bao",722,579,0.109915449654112
"100","Chi",460,576,0.111969111969112
"101","Claudie",2977,3739,0.113460393091126
"102","Luverne",1066,847,0.114479874542603
"103","Schyler",750,595,0.115241635687732
"104","Marvis",1082,1366,0.116013071895425
"105","Carmon",1244,1571,0.116163410301954
"106","Jae",1296,1025,0.116760017233951
"107","Cedar",951,750,0.118165784832452
"108","Landry",3446,2708,0.119922001949951
"109","Ryley",3331,2608,0.121737666273783
"110","Armani",7662,5985,0.122884150362717
"111","Barrie",1332,1708,0.123684210526316
"112","Jerre",795,617,0.126062322946176
"113","Tenzin",910,705,0.126934984520124
"114","Divine",1075,1390,0.127789046653144
"115","Alva",11170,8584,0.130910195403463
"116","Drue",1026,788,0.131201764057332
"117","Sonnie",755,576,0.134485349361382
"118","Jaylin",8918,6800,0.134749968189337
"119","Golden",2483,1892,0.135085714285714
"120","Dwan",1196,910,0.135802469135802
"121","Laramie",953,725,0.135876042908224
"122","Carey",16693,12669,0.137047885021456
"123","Berkley",1762,2323,0.137331701346389
"124","Fayette",438,579,0.138643067846608
"125","Jaelin",1126,851,0.139099645928174
"126","Ozie",933,1235,0.13929889298893
"127","Jaime",65697,49480,0.140800680691457
"128","Jourdan",1669,2217,0.141019042717447
"129","Amaree",679,511,0.141176470588235
"130","Peyton",44037,58567,0.141612412771432
"131","Jeryl",766,1029,0.146518105849582
"132","Kary",1416,1904,0.146987951807229
"133","Tylar",1498,1112,0.147892720306513
"134","Berkeley",752,1019,0.150762281197064
"135","Mycah",492,667,0.150992234685073
"136","Kenyatta",3093,4209,0.152834839769926
"137","Ellison",1973,2691,0.153945111492281
"138","Carrington",1632,2237,0.156371155337296
"139","Garnett",3817,2784,0.156491440690804
"140","Shamari",695,953,0.156553398058252
"141","Remy",4017,2927,0.156970046082949
"142","Lavon",4542,6239,0.157406548557648
"143","Jaedyn",1710,2357,0.159085320875338
"144","Daylin",1263,916,0.159247361174851
"145","Wallis",626,453,0.160333642261353
"146","Aries",1876,1352,0.162329615861214
"147","Mckinley",9177,6606,0.16289678768295
"148","Auburn",680,952,0.166666666666667
"149","Dallis",809,577,0.167388167388167
"150","Lajuan",1037,739,0.167792792792793
"151","Carlin",2359,1676,0.169268897149938
"152","Cache",646,458,0.170289855072464
"153","Erie",1960,1389,0.170498656315318
"154","Waverly",1939,1374,0.170540295804407
"155","Shea",7218,10204,0.171392492251177
"156","Jule",1388,1966,0.172331544424568
"157","Kriston",507,720,0.17359413202934
"158","Emery",16799,11827,0.173688255432125
"159","Shay",4075,5789,0.173763179237632
"160","Adi",481,686,0.175664095972579
"161","Carrol",6065,4252,0.175729378695357
"162","Karsen",1852,1296,0.176620076238882
"163","Ryen",1126,786,0.177824267782427
"164","Vernie",2758,3958,0.178677784395473
"165","Payson",859,596,0.180756013745704
"166","Stevie",12041,8351,0.1809533150255
"167","Brownie",504,727,0.181153533712429
"168","Arliss",554,800,0.181683899556869
"169","Tonnie",473,684,0.182368193604149
"170","Casey",108595,75060,0.182597805668237
"171","Taylen",997,689,0.182680901542112
"172","Kaidyn",1433,990,0.182831200990508
"173","Arden",6821,4711,0.182969129379119
"174","Lavern",9913,6845,0.183076739467717
"175","Jazz",674,465,0.183494293239684
"176","Lavelle",2287,1575,0.184360435007768
"177","Aven",1393,959,0.18452380952381
"178","Marshell",924,636,0.184615384615385
"179","Myrl",1260,1831,0.184729860886444
"180","Rio",1878,1287,0.186729857819905
"181","Holland",2222,3258,0.189051094890511
"182","Camari",822,559,0.190441708906589
"183","Emerson",19477,13225,0.191180967524922
"184","Devonne",649,958,0.192283758556316
"185","Artie",4317,6392,0.193762256046316
"186","Rylin",635,941,0.194162436548223
"187","Rian",3882,2612,0.195565137049584
"188","Shia",954,641,0.196238244514107
"189","Aris",1718,1154,0.196378830083565
"190","Ocie",2718,4047,0.196452328159645
"191","Jeffie",677,1012,0.198342214328005
"192","Dru",2192,1466,0.198469108802624
"193","Pat",26730,40123,0.200335063497524
"194","Kalani",1744,2622,0.201099404489235
"195","Tien",688,455,0.203849518810149
"196","Jessie",109317,165614,0.204767741724287
"197","Tai",2520,1661,0.205453240851471
"198","Ozell",1705,1119,0.207507082152975
"199","Arnell",1219,797,0.209325396825397
"200","Rowan",12703,8300,0.209636718564015
"201","Marice",715,467,0.209813874788494
"202","Jaidan",853,557,0.209929078014184
"203","Rhyan",1212,1861,0.21119427269769
"204","Arin",1486,2285,0.211880137894458
"205","Elgie",814,529,0.212211466865227
"206","Yuri",1575,2438,0.215051083977075
"207","Lonie",1078,1677,0.217422867513612
"208","Dell",3958,2544,0.217471547216241
"209","Verdell",1340,2085,0.217518248175183
"210","Phoenix",10050,6457,0.217665232931484
"211","Arie",1817,2831,0.21815834767642
"212","Codie",2512,1608,0.219417475728155
"213","Tobie",862,1347,0.219556360344047
"214","Aaryn",592,926,0.220026350461133
"215","Mikah",2011,1284,0.220637329286798
"216","Samar",506,794,0.221538461538462
"217","Armoni",719,1131,0.222702702702703
"218","Ever",2694,1712,0.222877893781207
"219","Lexington",442,696,0.223198594024605
"220","Quinn",28331,17951,0.224277256816905
"221","Linzy",565,892,0.224433768016472
"222","Mykah",579,915,0.224899598393574
"223","Nazareth",708,448,0.224913494809689
"224","Jael",1857,2942,0.226088768493436
"225","Lennie",2839,4500,0.226325112413135
"226","Kyrie",1785,2838,0.227774172615185
"227","Odie",2528,1589,0.228078698081127
"228","Teddie",1423,893,0.228842832469775
"229","Britt",4595,2883,0.228938218775074
"230","Kendall",33031,52722,0.229624619546838
"231","Azariah",1921,3081,0.231907237105158
"232","Indiana",644,1038,0.234244946492271
"233","Lashaun",787,1269,0.23443579766537
"234","Gale",12332,19886,0.234465205785586
"235","Ivey",1771,2864,0.235814455231931
"236","Nieves",597,968,0.237060702875399
"237","Milan",8155,5023,0.23766884200941
"238","Tandy",714,1164,0.23961661341853
"239","Isa",1481,2420,0.240707510894642
"240","Onnie",657,1074,0.240901213171577
"241","Lyrik",440,722,0.242685025817556
"242","Dakotah",2825,1720,0.243124312431243
"243","Larkin",1991,1212,0.243209491102092
"244","Dominque",2353,3871,0.243894601542416
"245","Finnley",1073,650,0.245502031340685
"246","Onyx",738,447,0.245569620253165
"247","Thanh",1074,650,0.245939675174014
"248","Reese",15286,25323,0.247161959171612
"249","Aubry",1568,2598,0.247239558329333
"250","Bee",1023,615,0.249084249084249
"251","Jammie",2423,4044,0.250657182619453
"252","Leighton",6445,3854,0.25157782308962
"253","Raynell",424,710,0.252204585537919
"254","Caroll",776,1302,0.253128007699711
"255","Sloan",2031,3413,0.253857457751653
"256","Kaylon",1071,635,0.25556858147714
"257","Stephane",668,1128,0.256124721603563
"258","Charly",999,1688,0.256419799032378
"259","Earlie",2262,1329,0.259816207184628
"260","Micaiah",1864,1095,0.259885096316323
"261","Adrean",701,410,0.261926192619262
"262","Codi",1816,3119,0.26403242147923
"263","Kaedyn",924,537,0.264887063655031
"264","Kamari",5161,2990,0.266347687400319
"265","Aly",511,883,0.266857962697274
"266","Linn",1448,837,0.267396061269147
"267","Sage",8354,14457,0.267546359212661
"268","Hartley",1363,787,0.267906976744186
"269","Ossie",1675,2912,0.269675168955744
"270","Mackie",989,567,0.27120822622108
"271","Braylin",1781,1017,0.273052180128663
"272","Allyn",3169,1806,0.273969849246231
"273","Kareen",729,1282,0.274987568373943
"274","Halen",786,445,0.277010560519902
"275","Storm",2655,1501,0.2776708373436
"276","Jimi",1122,633,0.278632478632479
"277","Daris",1071,603,0.279569892473118
"278","Eliyah",397,706,0.28014505893019
"279","Skyler",35954,20165,0.281348562875319
"280","Yuki",437,781,0.282430213464696
"281","Jody",31050,55637,0.283629609976121
"282","Ricki",2285,4115,0.2859375
"283","Harlow",1660,2992,0.286328460877042
"284","Brittan",435,787,0.288052373158756
"285","Montie",1679,928,0.28807057920982
"286","Audie",3962,2189,0.288245813688831
"287","Osie",748,1354,0.288296860133206
"288","Channing",5478,3019,0.289396257502648
"289","Temple",789,1432,0.289509230076542
"290","Tory",6611,3642,0.289573783282942
"291","Jonnie",3149,5720,0.289886120193934
"292","Austyn",4301,2363,0.290816326530612
"293","Lorin",4670,2553,0.293091513221653
"294","Robie",1176,642,0.293729372937294
"295","Veryl",686,374,0.294339622641509
"296","Nicola",2657,4906,0.297368769007008
"297","Marquette",1213,652,0.300804289544236
"298","Jordin",2100,3924,0.302788844621514
"299","Karry",642,1200,0.302931596091205
"300","Sky",3137,5885,0.30458878297495
"301","Osiris",1391,739,0.306103286384977
"302","Shawne",429,808,0.306386418755053
"303","Rudi",673,357,0.306796116504854
"304","Dayle",1139,2151,0.307598784194529
"305","Emry",458,865,0.307634164777022
"306","Kendal",4312,8155,0.308253790005615
"307","Rosario",5370,10156,0.308257117093907
"308","Freedom",516,981,0.31062124248497
"309","Monta",476,907,0.311641359363702
"310","Brighton",1843,964,0.31314570716067
"311","Kaydin",919,480,0.313795568263045
"312","Tomie",903,470,0.31536780772032
"313","Shalom",1461,759,0.316216216216216
"314","Gentry",2934,1524,0.31628532974428
"315","Kem",680,353,0.316553727008712
"316","Aundra",838,431,0.320724980299448
"317","Jamy",383,745,0.320921985815603
"318","Avery",47000,91423,0.320922101095916
"319","Reign",432,846,0.323943661971831
"320","Tommie",34041,17274,0.326746565331774
"321","Sheridan",2709,5342,0.327040119239846
"322","Torey",2795,1408,0.330002379252915
"323","Harley",37423,18808,0.331045153029468
"324","Jamelle",761,382,0.331583552055993
"325","Payden",1115,557,0.333732057416268
"326","Shiloh",3259,6533,0.334354575163399
"327","Jaidyn",2551,5142,0.336799688028077
"328","Payton",22534,45424,0.336825686453398
"329","Davi",885,439,0.336858006042296
"330","Torre",814,403,0.337715694330321
"331","Leverne",984,487,0.337865397688647
"332","Tanis",485,982,0.338786639400136
"333","Dalyn",731,361,0.338827838827839
"334","Mannie",1025,505,0.339869281045752
"335","Laine",1378,2797,0.339880239520958
"336","Channon",359,729,0.340073529411765
"337","Roshawn",858,422,0.340625
"338","Corin",801,1629,0.340740740740741
"339","Dondi",764,375,0.341527655838455
"340","Kadyn",2491,1213,0.345032397408207
"341","Callahan",812,394,0.346600331674959
"342","Bernell",1547,750,0.34697431432303
"343","Merle",30369,14713,0.347278292888514
"344","Johnnie",101160,48793,0.349222756463692
"345","Ottie",609,1264,0.349706353443673
"346","Deane",2707,1304,0.349788082772376
"347","Samari",465,967,0.350558659217877
"348","Timber",386,804,0.351260504201681
"349","Tobey",1580,758,0.35158254918734
"350","Avon",1466,696,0.356151711378353
"351","Shilo",767,1622,0.357890330682294
"352","Jacque",2307,4889,0.358810450250139
"353","Andra",2553,5422,0.35974921630094
"354","Scout",906,1934,0.361971830985915
"355","Kobi",1203,561,0.363945578231293
"356","Briar",2894,1347,0.364772459325631
"357","Gerry",14344,6656,0.366095238095238
"358","Vernell",3304,7124,0.366321442270809
"359","Arlee",413,891,0.366564417177914
"360","Kolbie",340,738,0.369202226345084
"361","Marlo",2828,6168,0.371276122721209
"362","Nickie",1439,3152,0.373121324330211
"363","Dee",7228,15835,0.373195161080519
"364","Carman",1083,2382,0.374891774891775
"365","Merlyn",3367,1529,0.375408496732026
"366","Oakley",3879,1759,0.376019865200426
"367","Ivon",516,1139,0.37643504531722
"368","Jamey",6523,2954,0.376595969188562
"369","Kc",1706,769,0.378585858585859
"370","Kit",2646,1189,0.379921773142112
"371","Daelyn",425,946,0.38001458789205
"372","Ivery",791,355,0.380453752181501
"373","Rene",48362,21652,0.38149512954552
"374","Jadin",1438,643,0.382027871215762
"375","Andree",861,1927,0.382352941176471
"376","Haiden",2789,1244,0.383089511529878
"377","Callan",2250,1001,0.384189480159951
"378","Arlis",1805,797,0.38739431206764
"379","Rossie",768,1740,0.38755980861244
"380","Lennis",1217,537,0.387685290763968
"381","Lyndell",1879,828,0.388252678241596
"382","Anh",589,1337,0.388369678089304
"383","Ladell",984,433,0.388849682427664
"384","Tal",1140,500,0.390243902439024
"385","Kamrin",950,416,0.390922401171303
"386","Chayse",1698,743,0.391233101188038
"387","Angel",209691,91734,0.391331176909679
"388","Seven",1205,527,0.391454965357968
"389","Karon",2712,6208,0.391928251121076
"390","Dominique",21668,49659,0.392432038358546
"391","Donnis",456,1046,0.392809587217044
"392","Jaye",1003,2322,0.396691729323308
"393","Lashon",662,1534,0.397085610200364
"394","Cayce",477,1107,0.397727272727273
"395","Masyn",852,366,0.399014778325123
"396","Cree",302,704,0.399602385685885
"397","Victory",510,1189,0.399646851088876
"398","Kylar",1236,530,0.399773499433749
"399","Darian",14244,6083,0.401485708663354
"400","Leslie",112533,264054,0.402353241083734
"401","Cadyn",847,360,0.403479701739851
"402","Amauri",1133,481,0.403965303593556
"403","Leshawn",736,312,0.404580152671756
"404","Catlin",446,1055,0.405729513657562
"405","Dusty",10262,4310,0.408454570409004
"406","Montana",2970,7084,0.409190371991247
"407","Dior",598,1431,0.410547067520946
"408","Terran",1304,544,0.411255411255411
"409","Ashby",1453,605,0.412050534499514
"410","Karel",502,1206,0.412177985948478
"411","Rivers",1025,426,0.412818745692626
"412","Remi",1337,3228,0.414238773274918
"413","Ali",22543,9309,0.415484114027377
"414","Jene",646,1572,0.417493237150586
"415","Carsyn",943,2297,0.417901234567901
"416","Lashawn",2983,7309,0.420326467158958
"417","Shan",2110,859,0.421353991242843
"418","Alaa",381,939,0.422727272727273
"419","Kendell",4373,1767,0.42442996742671
"420","Lynell",790,1963,0.426080639302579
"421","Clancy",1140,458,0.426783479349186
"422","Chancey",1180,474,0.426844014510278
"423","Henley",657,1650,0.430429128738622
"424","Jullian",2353,936,0.430830039525692
"425","Ova",528,1329,0.431340872374798
"426","Mikell",1345,534,0.431612559872272
"427","Jaydin",2694,1069,0.431836300823811
"428","Jan",21599,54490,0.432270104745758
"429","Daryn",2251,889,0.43375796178344
"430","Page",1503,3823,0.435598948554262
"431","Zephyr",794,312,0.435804701627486
"432","Devan",12770,5015,0.436041608096711
"433","Ayan",1411,554,0.436132315521629
"434","Auden",798,313,0.436543654365437
"435","Jensen",5555,2178,0.436699857752489
"436","Linden",2947,1155,0.436860068259386
"437","Alexi",1457,3721,0.437234453456933
"438","Ara",1144,2925,0.437699680511182
"439","Cleotha",749,292,0.439000960614793
"440","Jessy",4404,1715,0.43945089066841
"441","Karan",1340,3450,0.440501043841336
"442","Ollie",15771,40711,0.441556602103325
"443","Daniell",793,2048,0.441745864132348
"444","Guadalupe",24581,63488,0.441778605411666
"445","Larue",1507,3893,0.441851851851852
"446","Sunny",3089,8000,0.44287131391469
"447","Mylan",748,288,0.444015444015444
"448","Denali",368,956,0.444108761329305
"449","Cris",2836,1089,0.445095541401274
"450","Arion",1496,574,0.445410628019324
"451","Kemari",900,344,0.446945337620579
"452","Marion",71753,187796,0.447094768232588
"453","Riki",421,1109,0.449673202614379
"454","Anjel",991,376,0.449890270665691
"455","Taren",437,1154,0.450659962287869
"456","Rowen",2086,789,0.451130434782609
"457","Collins",3115,1176,0.451876019575856
"458","Kiernan",1355,511,0.452304394426581
"459","Cleo",11315,30045,0.452852998065764
"460","Tegan",1776,4718,0.453033569448722
"461","Theo",8503,3195,0.453752778252693
"462","Gracen",584,1560,0.455223880597015
"463","Darby",2724,7365,0.460005947071068
"464","Kristian",17742,6560,0.460126738540038
"465","Wynn",1853,685,0.460204885736801
"466","Kelby",3731,1379,0.46027397260274
"467","Clemmie",972,2631,0.46044962531224
"468","Skylor",973,358,0.46205860255447
"469","Noa",1199,3262,0.462452364940596
"470","Jin",977,359,0.462574850299401
"471","Kenyata",301,820,0.462979482604817
"472","Larrie",927,339,0.464454976303318
"473","Kalen",3846,1404,0.465142857142857
"474","Jorden",6136,2227,0.467415999043405
"475","Sammie",20590,7459,0.468145031908446
"476","Lennon",3855,1395,0.468571428571429
"477","Krystian",1298,469,0.469156762874929
"478","Demetris",2471,892,0.469521260779066
"479","Taegan",296,820,0.469534050179212
"480","Elon",1313,473,0.470324748040314
"481","Haidyn",479,1330,0.470425649530127
"482","Jordan",352524,126910,0.470584063708456
"483","River",10618,3810,0.471860271693928
"484","Shanon",1726,4814,0.47217125382263
"485","Haven",3498,9758,0.472238986119493
"486","Kasey",11260,31492,0.473241017964072
"487","Gabriele",706,1982,0.474702380952381
"488","Lan",266,748,0.47534516765286
"489","Layne",10100,3591,0.475421809948141
"490","Arian",3690,1311,0.475704859028194
"491","Dasani",324,912,0.475728155339806
"492","Kameryn",604,1705,0.476829796448679
"493","Mearl",1210,428,0.477411477411477
"494","Tarin",310,881,0.479429051217464
"495","Marlyn",2291,6524,0.480204197390811
"496","Glennis",721,2054,0.48036036036036
"497","Taylor",107966,308130,0.481052449434746
"498","Paris",8492,24366,0.483109136283401
"499","Jalyn",1587,4574,0.484823892225288
"500","Azriel",1150,397,0.486748545572075
"501","Chaise",924,318,0.48792270531401
"502","Aubrey",29625,86401,0.489338596521469
"503","Love",798,2332,0.490095846645367
"504","Verlyn",1430,488,0.491136600625652
"505","Josey",795,2332,0.491525423728814
"506","Randie",516,1515,0.491875923190547
"507","Desi",2073,706,0.49190356243253
"508","Domonique",1738,5132,0.494032023289665
"509","Lael",576,1701,0.494071146245059
"510","Shirl",448,1323,0.494071146245059
"511","Skylar",15986,47236,0.494289962354876
"512","Michel",10225,3459,0.494446068401052
"513","Teryl",263,779,0.495201535508637
"514","Dakota",82298,27755,0.495606662244555
"515","Kelcey",692,2053,0.495810564663024
"516","Chaney",406,1206,0.496277915632754
"517","Lacy",6455,19233,0.497430706944877
"518","Loris",561,1694,0.502439024390244
"519","Mayson",2551,841,0.504127358490566
"520","Clair",12032,3965,0.504282052884916
"521","Taran",1701,560,0.504643962848297
"522","Parish",815,268,0.505078485687904
"523","Iran",1246,408,0.506650544135429
"524","Cayman",764,250,0.506903353057199
"525","Tramaine",1717,561,0.507462686567164
"526","Baily",417,1277,0.50767414403778
"527","Hiawatha",925,302,0.507742461287694
"528","Willie",447759,146129,0.507890376636672
"529","Jaiden",23710,7728,0.508365672116547
"530","Harlem",982,320,0.508448540706605
"531","Sami",3613,1174,0.509504909128891
"532","France",374,1152,0.509829619921363
"533","Deandrea",710,2188,0.510006901311249
"534","Elza",2111,685,0.510014306151645
"535","Kaelin",824,2543,0.510543510543511
"536","Maryland",315,973,0.510869565217391
"537","Lynden",1200,388,0.511335012594458
"538","Natale",1149,371,0.511842105263158
"539","Lupe",5989,18551,0.511898940505297
"540","Murl",1941,626,0.51227113361901
"541","Imari",680,2112,0.512893982808023
"542","Errin",271,842,0.513027852650494
"543","Denim",1042,333,0.515636363636364
"544","Sai",964,308,0.515723270440252
"545","Jaylyn",1498,4689,0.515758849199935
"546","Brook",3231,10115,0.515809980518507
"547","Arlie",6547,2085,0.516913809082484
"548","Arya",1721,5414,0.517589348283111
"549","Jamie",84424,265838,0.517938000696621
"550","Caelan",1865,592,0.518111518111518
"551","Mykal",1032,326,0.519882179675994
"552","Ravon",838,264,0.520871143375681
"553","San",581,1846,0.521219612690564
"554","Val",5519,1731,0.52248275862069
"555","Sascha",325,1038,0.523110785033015
"556","Jadan",1096,343,0.523280055594163
"557","Dereon",1104,345,0.523809523809524
"558","Tristin",8754,2735,0.523892418835408
"559","Billie",31546,101039,0.524139231436437
"560","Chaka",262,841,0.524932003626473
"561","Quincey",1644,511,0.525754060324826
"562","Tylee",322,1037,0.526122148638705
"563","Alpha",2208,7111,0.526129413027149
"564","Morgen",547,1768,0.527429805615551
"565","Marvell",1048,323,0.528811086797958
"566","Laverne",13170,42865,0.529936646738645
"567","Rainey",438,1426,0.530042918454936
"568","Perrin",1157,355,0.53042328042328
"569","Ozzie",2173,666,0.53082071151814
"570","Jessey",881,270,0.530842745438749
"571","Darrian",3152,964,0.531584062196307
"572","Deondra",410,1341,0.531696173615077
"573","Ashton",58982,18026,0.531840847704135
"574","Semaj",5274,1611,0.53202614379085
"575","Graysen",1644,502,0.53215284249767
"576","Danell",386,1265,0.532404603270745
"577","Laurin",481,1578,0.532782904322487
"578","Noel",43659,13276,0.533643628699394
"579","Irie",350,1151,0.533644237175217
"580","Zaire",4067,1234,0.534427466515752
"581","Augustine",11799,3559,0.536528193775231
"582","Kaelan",1263,380,0.537431527693244
"583","Akira",1570,5234,0.538506760728983
"584","Johnell",1185,355,0.538961038961039
"585","Collie",1172,350,0.540078843626807
"586","Mica",742,2496,0.541692402717727
"587","Romaine",930,3136,0.542547958681751
"588","Verle",1758,521,0.542781921895568
"589","Carsen",2574,762,0.543165467625899
"590","Brecken",2073,607,0.547014925373134
"591","Myrle",703,2405,0.547619047619048
"592","Elvie",724,2478,0.547782635852592
"593","Syncere",1286,375,0.54846478025286
"594","Shae",1435,4943,0.550015678896206
"595","Khamari",1144,332,0.550135501355014
"596","Schuyler",3995,1158,0.550553075878129
"597","Aime",474,1643,0.552196504487482
"598","Baylor",2484,715,0.552985307908721
"599","Germaine",2270,7888,0.553061626304391
"600","Marlow",1748,503,0.553087516659263
"601","Lynn",52197,181561,0.553409936772217
"602","Garnet",1950,6796,0.554081865995884
"603","Devon",68743,19692,0.554655962005993
"604","Ladon",1133,323,0.556318681318681
"605","Jadyn",3189,11189,0.556405619696759
"606","Odell",14568,4146,0.556909265790317
"607","Justis",1353,384,0.557858376511226
"608","Corie",988,3488,0.558534405719392
"609","Teagan",4020,14248,0.559886139697832
"610","Nana",653,2317,0.56026936026936
"611","Valentine",6076,1708,0.561151079136691
"612","Naveen",887,249,0.561619718309859
"613","Donelle",316,1127,0.562023562023562
"614","Silver",350,1249,0.562226391494684
"615","Caron",888,3177,0.56309963099631
"616","Emmanuelle",266,954,0.563934426229508
"617","Jalin",1654,460,0.56480605487228
"618","Shaye",562,2021,0.564847077042199
"619","Hollis",13883,3860,0.564898833342727
"620","Dana",52964,190553,0.565007781797575
"621","Keelin",265,956,0.565929565929566
"622","Sidney",82378,22807,0.566345011170794
"623","Aarya",263,950,0.56636438582028
"624","Merritt",5177,1433,0.566414523449319
"625","Earnie",1179,326,0.566777408637874
"626","Izel",239,865,0.567028985507246
"627","Sherrill",1915,6932,0.567084887532497
"628","Demaris",278,1009,0.567987567987568
"629","Blakely",1064,3868,0.56853203568532
"630","Jai",3481,957,0.568724650743578
"631","Kimmy",276,1004,0.56875
"632","London",7479,27229,0.569033075947908
"633","Zyaire",1573,432,0.569077306733167
"634","Phuong",282,1033,0.571102661596958
"635","Reegan",263,964,0.571312143439283
"636","Avian",954,260,0.57166392092257
"637","Jere",4261,1159,0.572324723247232
"638","Gabriell",343,1263,0.572851805728518
"639","Nima",912,247,0.573770491803279
"640","Britton",5493,1487,0.573925501432665
"641","Elan",2506,678,0.574120603015075
"642","Marcell",4165,1126,0.574371574371574
"643","Shaquan",1983,536,0.574434299325129
"644","Lee",229654,62037,0.574638915839021
"645","Nikola",1993,538,0.574871592256025
"646","Cameryn",622,2309,0.575571477311498
"647","Bentlee",1845,497,0.575576430401366
"648","Jayme",3669,13649,0.576279016052662
"649","Karey",583,2182,0.578300180831826
"650","Sina",420,1582,0.58041958041958
"651","Shayne",10220,2708,0.581064356435643
"652","Justyce",446,1692,0.582787652011225
"653","Adley",304,1154,0.582990397805213
"654","Montez",2799,737,0.58314479638009
"655","Rain",531,2018,0.583366025892507
"656","Quin",1333,350,0.58407605466429
"657","Ariel",16094,61308,0.584145112529392
"658","Kymani",2629,687,0.585645355850422
"659","Alix",853,3275,0.58672480620155
"660","Loren",45806,11862,0.588610667961434
"661","Orie",1656,428,0.589251439539347
"662","Ravin",242,938,0.589830508474576
